branch_id,branch_name,region
147,اسفندیار,تهران مستقل
102,آفریقا,تهران مرکز
101,غدیر,تهران غرب
214,صنعتگران,تهران غرب
117,شیراز شمالی,تهران غرب
142,نفت,تهران شرق
170,میدان آرژانتین,تهران مرکز
123,آفریقای شمالی,تهران مرکز
105,پاسداران,تهران شرق
111,سعادت آباد,تهران غرب
110,قائم مقام,تهران مرکز
178,میرزای شیرازی,تهران مرکز
1301,میدان آزادی اصفهان,مرکز ایران
188,میدان هفت تیر,تهران مرکز
162,توانیر,تهران مرکز
215,جام جم,تهران مرکز
152,پارک ساعی,تهران مرکز
164,قیطریه,تهران شرق
114,سهروردی شمالی,تهران شرق
112,تجریش,تهران مرکز
156,میدان مادر,تهران مرکز
205,بلوار مرزداران,تهران غرب
155,میدان ونک,تهران مرکز
173,میدان پونک,تهران غرب
115,شهرک راه آهن,تهران غرب
168,سیدخندان,تهران شرق
213,سید جمال الدین اسدآبادی,تهران مرکز
181,بلوار میرداماد,تهران مرکز
212,زعفرانیه,تهران مرکز
103,فاطمی,تهران مرکز
167,ایران زمین,تهران غرب
108,نیاوران,تهران شرق
207,شهیده سونا حقیقی,تهران شرق
116,آیت اله کاشانی,تهران غرب
3331,خیابان امام آمل,شمال
1001,خیابان ارتش تبریز,شمال غرب
174,جنت آباد,تهران غرب
177,چهاردانگه,تهران غرب
210,چهار راه دیباجی,تهران شرق
127,بهشتی,تهران شرق
221,دروس,تهران شرق
1804,بلوار مدرس مشهد,شرق ایران
202,مقدس اردبیلی,تهران غرب
133,فارابی,تهران مرکز
163,فرشته,تهران مرکز
172,شهرک اکباتان,تهران غرب
176,سرو غربی,تهران غرب
119,صادقیه,تهران غرب
161,ملاصدرا,تهران غرب
2721,سیرجان,شرق ایران
1902,پادادشهر اهواز,جنوب غرب
104,کارگرشمالی,تهران غرب
217,ولنجک,تهران غرب
134,بلوار کشاورز,تهران مرکز
106,حافظ,تهران مرکز
157,بازار استیل,تهران غرب
201,بلوار فردوس,تهران غرب
130,میدان فردوسی,تهران مرکز
219,بلوار اندرزگو,تهران شرق
1901,کیانپارس اهواز,جنوب غرب
211,خبرنگار,تهران شرق
126,فرمانیه,تهران شرق
1631,اسلامشهر,تهران غرب
153,دانشگاه صنعتی شریف,تهران غرب
2304,معالی آباد شیراز,جنوب
135,دولت,تهران شرق
1602,گلشهر کرج,تهران غرب
146,کوی نصر,تهران غرب
136,شریعتی,تهران شرق
3102,گلسار رشت,شمال
2502,جهاد قم,مرکز ایران
2301,عفیف آباد شیراز,جنوب
151,قلهک,تهران شرق
1601,شهدای کرج,تهران غرب
206,فلکه دوم نیروی هوائی,تهران شرق
143,ستارخان,تهران غرب
175,میدان هروی,تهران شرق
1802,احمدآباد مشهد,شرق ایران
2305,خیابان زند شیراز,جنوب
129,رسالت,تهران شرق
1831,خیابان فردوسی نیشابور,شرق ایران
150,دزاشیب,تهران شرق
1304,شمس آبادی اصفهان,مرکز ایران
3601,خیابان شریعتی همدان,شمال غرب
184,شهران,تهران غرب
171,طالقانی,تهران مرکز
124,توحید,تهران غرب
1303,بزرگمهر اصفهان,مرکز ایران
1309,خیابان میر اصفهان,مرکز ایران
2308,فلکه گاز شیراز,جنوب
122,سعدی جنوبی,تهران مرکز
216,اقدسیه,تهران شرق
107,تهرانپارس,تهران شرق
1302,توحید اصفهان,مرکز ایران
1621,شهر ری,تهران مرکز
109,بازار,تهران مرکز
118,جمهوری,تهران غرب
1805,بلوار هاشمیه مشهد,شرق ایران
3321,شریعتی بابل,شمال
1801,سجاد مشهد,شرق ایران
1604,طالقانی کرج,تهران غرب
187,میدان ولی عصر,تهران مرکز
3421,ساوه,مرکز ایران
2501,بلوار امین قم,مرکز ایران
121,خیابان احسان,تهران شرق
149,پل رومی,تهران مرکز
141,هنگام شمالی,تهران شرق
190,آزادی-دکتر قریب,تهران غرب
3901,خیابان مدرس بیرجند,شرق ایران
2402,میدان جانبازان قزوین,شمال
1101,خیابان سرداران ارومیه,شمال غرب
1803,امام خمینی مشهد,شرق ایران
1808,بلوار معلم مشهد,شرق ایران
2361,خیابان امام فسا,جنوب
125,سعدی شمالی,تهران مرکز
1308,چهار باغ بالا اصفهان,مرکز ایران
1102,شهید بهشتی ارومیه,شمال غرب
3302,بلوار خزر ساری,شمال
180,نازی آباد,تهران مرکز
3301,خیابان فرهنگ ساری,شمال
1021,خیابان خواجه نصیر مراغه,شمال غرب
1008,استاد شهریارتبریز,شمال غرب
2801,میدان ارشاد کرمانشاه,جنوب غرب
2309,پاسداران شیراز,جنوب
154,بلوار پروین,تهران شرق
179,افسریه,تهران شرق
1906,زیتون کارمندی اهواز,جنوب غرب
1202,امام خمینی اردبیل,شمال غرب
2314,قدوسی غربی شیراز,جنوب
148,فرخی یزدی,تهران شرق
140,بهار جنوبی,تهران مرکز
3401,اراک,مرکز ایران
3001,خیابان نهارخوران گرگان,شمال
1905,گلستان اهواز,جنوب غرب
4001,مرکز تجاری کیش,جنوب
3731,بلوار جمهوری یزد,مرکز ایران
3351,قائم شهر,شمال
1003,هفده شهریور تبریز,شمال غرب
3501,خیابان شهید نظری بندرعباس,جنوب
1401,ایلام,جنوب غرب
2702,بلوار جمهوری کرمان,شرق ایران
209,چهار راه آیت,تهران شرق
2001,خیابان امام زنجان,شمال غرب
169,هفده شهریور,تهران شرق
2303,خیابان امام گراش,جنوب
159,میدان نبوت,تهران شرق
2401,میدان آزادی قزوین,شمال
3702,صفائیه یزد,مرکز ایران
2701,میدان آزادی کرمان,شرق ایران
2307,مدرس شیراز,جنوب
1351,مبارکه,مرکز ایران
2315,فرهنگشهر شیراز,جنوب
2601,بلوار پاسداران سنندج,شمال غرب
3101,میدان صیقلان رشت,شمال
132,منیریه,تهران مرکز
3105,پورسینا رشت,شمال
1141,میاندوآب,شمال غرب
2704,بلوار آزادگان کرمان,شرق ایران
1006,بیست و دوم بهمن تبریز,شمال غرب
2310,قصرالدشت شیراز,جنوب
3701,خیابان مطهری یزد,مرکز ایران
2351,مرودشت,جنوب
3341,خیابان جمهوری تنکابن,شمال
2306,بلوار عدالت شیراز,جنوب
2201,خیابان شریعتی زاهدان,شرق ایران
2331,جهرم,جنوب
1131,خیابان جمهوری مهاباد,شمال غرب
3371,خیابان امام نور,شمال
3201,خیابان علوی خرم آباد,جنوب غرب
145,شاهین شمالی,تهران غرب
1701,خیابان حافظ شهرکرد,مرکز ایران
1381,شاهین شهر,مرکز ایران
3325,بابلسر مازندران,شمال
128,پیروزی,تهران شرق
2021,بلوار طالقانی ابهر,شمال غرب
2703,چهارراه ابو حامد کرمان,شرق ایران
1002,الهی پرست تبریز,شمال غرب
3031,ولیعصر گرگان,شمال
2404,خیام قزوین,شمال
3402,شهید بهشتی اراک,مرکز ایران
1501,خیابان امام بوشهر,جنوب غرب
1531,بندر گناوه,جنوب غرب
1821,خیابان اسدآبادی سبزوار,شرق ایران
160,پانزده خرداد غربی,تهران مرکز
2631,سقز,شمال غرب
1807,چهارراه ابوطالب مشهد,شرق ایران
1310,بلوار وحید اصفهان,مرکز ایران
1371,نجف آباد,مرکز ایران
1031,مرند,شمال غرب
3141,لاهیجان,شمال
2731,بلوار مطهری رفسنجان,شرق ایران
