period,branch_id,final_score,rank,grade,excellent_group
1404-04,147,999.7,1,Excellent,Excellent Plus
1404-04,102,867.5,2,Excellent,Excellent Plus
1404-04,101,813.7,3,Excellent,Excellent Plus
1404-04,214,799.9,4,Excellent,Excellent
1404-04,117,786.6,5,Excellent,Excellent
1404-04,142,764.5,6,Excellent,Excellent
1404-04,170,761.7,7,Excellent,Excellent
1404-04,123,735.2,8,Excellent,Excellent
1404-04,105,728.0,9,Excellent,Excellent
1404-04,111,720.5,10,Excellent,Excellent
1404-04,110,706.8,11,Excellent,Excellent
1404-04,178,699.1,12,Excellent,Excellent
1404-04,1301,696.0,13,Excellent,Excellent
1404-04,188,693.2,14,Excellent,Excellent
1404-04,162,689.5,15,Excellent,Excellent
1404-04,215,683.2,16,Excellent,Excellent
1404-04,152,675.7,17,Excellent,Excellent
1404-04,164,671.0,18,Excellent,Excellent
1404-04,114,658.2,19,Grade 1,
1404-04,112,657.8,20,Grade 1,
1404-04,156,638.6,21,Grade 1,
1404-04,205,638.3,22,Grade 1,
1404-04,155,631.5,23,Grade 1,
1404-04,173,624.1,24,Grade 1,
1404-04,115,623.2,25,Grade 1,
1404-04,168,621.3,26,Grade 1,
1404-04,213,619.8,27,Grade 1,
1404-04,181,618.8,28,Grade 1,
1404-04,212,618.1,29,Grade 1,
1404-04,103,613.1,30,Grade 1,
1404-04,167,609.9,31,Grade 1,
1404-04,108,607.1,32,Grade 1,
1404-04,207,606.2,33,Grade 1,
1404-04,116,604.0,34,Grade 1,
1404-04,3331,600.4,35,Grade 1,
1404-04,1001,589.2,36,Grade 1,
1404-04,174,588.1,37,Grade 1,
1404-04,177,587.4,38,Grade 1,
1404-04,210,585.8,39,Grade 1,
1404-04,127,584.4,40,Grade 1,
1404-04,221,582.2,41,Grade 1,
1404-04,1804,581.4,42,Grade 1,
1404-04,202,578.8,43,Grade 1,
1404-04,133,570.7,44,Grade 1,
1404-04,163,568.1,45,Grade 1,
1404-04,172,566.5,46,Grade 1,
1404-04,176,565.4,47,Grade 1,
1404-04,119,561.2,48,Grade 1,
1404-04,161,560.3,49,Grade 1,
1404-04,2721,559.1,50,Grade 1,
1404-04,1902,559.1,51,Grade 1,
1404-04,104,555.5,52,Grade 1,
1404-04,217,553.5,53,Grade 1,
1404-04,134,550.1,54,Grade 1,
1404-04,106,548.4,55,Grade 1,
1404-04,157,543.3,56,Grade 1,
1404-04,201,541.1,57,Grade 1,
1404-04,130,530.1,58,Grade 1,
1404-04,219,529.9,59,Grade 1,
1404-04,1901,526.8,60,Grade 1,
1404-04,211,523.4,61,Grade 1,
1404-04,126,520.5,62,Grade 1,
1404-04,1631,516.7,63,Grade 1,
1404-04,153,515.6,64,Grade 1,
1404-04,2304,511.1,65,Grade 1,
1404-04,135,508.2,66,Grade 1,
1404-04,1602,504.8,67,Grade 1,
1404-04,146,503.6,68,Grade 1,
1404-04,136,502.9,69,Grade 1,
1404-04,3102,496.4,70,Grade 1,
1404-04,2502,494.5,71,Grade 1,
1404-04,2301,492.5,72,Grade 1,
1404-04,151,484.8,73,Grade 1,
1404-04,1601,484.4,74,Grade 1,
1404-04,206,483.5,75,Grade 1,
1404-04,143,482.9,76,Grade 1,
1404-04,175,481.8,77,Grade 1,
1404-04,1802,479.4,78,Grade 1,
1404-04,2305,470.2,79,Grade 2,
1404-04,129,462.4,80,Grade 2,
1404-04,1831,460.8,81,Grade 2,
1404-04,150,452.7,82,Grade 2,
1404-04,1304,448.2,83,Grade 2,
1404-04,3601,445.8,84,Grade 2,
1404-04,184,443.5,85,Grade 2,
1404-04,171,442.8,86,Grade 2,
1404-04,124,441.1,87,Grade 2,
1404-04,1303,440.8,88,Grade 2,
1404-04,1309,436.8,89,Grade 2,
1404-04,2308,435.0,90,Grade 2,
1404-04,122,432.8,91,Grade 2,
1404-04,216,431.8,92,Grade 2,
1404-04,107,430.1,93,Grade 2,
1404-04,1302,429.9,94,Grade 2,
1404-04,1621,428.4,95,Grade 2,
1404-04,109,427.7,96,Grade 2,
1404-04,118,427.0,97,Grade 2,
1404-04,1805,426.1,98,Grade 2,
1404-04,3321,423.1,99,Grade 2,
1404-04,1801,421.9,100,Grade 2,
1404-04,1604,419.4,101,Grade 2,
1404-04,187,413.3,102,Grade 2,
1404-04,3421,411.4,103,Grade 2,
1404-04,2501,409.0,104,Grade 2,
1404-04,121,409.0,105,Grade 2,
1404-04,149,407.0,106,Grade 2,
1404-04,141,402.2,107,Grade 2,
1404-04,190,400.0,108,Grade 2,
1404-04,3901,396.1,109,Grade 2,
1404-04,2402,392.8,110,Grade 2,
1404-04,1101,391.7,111,Grade 2,
1404-04,1803,390.5,112,Grade 2,
1404-04,1808,389.6,113,Grade 2,
1404-04,2361,383.4,114,Grade 2,
1404-04,125,382.5,115,Grade 2,
1404-04,1308,382.2,116,Grade 2,
1404-04,1102,381.4,117,Grade 2,
1404-04,3302,381.2,118,Grade 2,
1404-04,180,380.4,119,Grade 2,
1404-04,3301,378.3,120,Grade 2,
1404-04,1021,377.6,121,Grade 2,
1404-04,1008,377.2,122,Grade 2,
1404-04,2801,374.2,123,Grade 2,
1404-04,2309,371.2,124,Grade 2,
1404-04,154,368.8,125,Grade 2,
1404-04,179,368.6,126,Grade 2,
1404-04,1906,367.6,127,Grade 2,
1404-04,1202,363.8,128,Grade 2,
1404-04,2314,363.8,129,Grade 2,
1404-04,148,362.6,130,Grade 2,
1404-04,140,359.6,131,Grade 2,
1404-04,3401,359.1,132,Grade 2,
1404-04,3001,358.7,133,Grade 2,
1404-04,1905,358.2,134,Grade 2,
1404-04,4001,354.8,135,Grade 2,
1404-04,3731,351.4,136,Grade 2,
1404-04,3351,350.4,137,Grade 2,
1404-04,1003,349.4,138,Grade 2,
1404-04,3501,348.2,139,Grade 2,
1404-04,1401,347.5,140,Grade 2,
1404-04,2702,347.0,141,Grade 2,
1404-04,209,346.0,142,Grade 2,
1404-04,2001,340.4,143,Grade 2,
1404-04,169,340.1,144,Grade 2,
1404-04,2303,339.5,145,Grade 2,
1404-04,159,337.7,146,Grade 3,
1404-04,2401,336.3,147,Grade 3,
1404-04,3702,334.7,148,Grade 3,
1404-04,2701,334.2,149,Grade 3,
1404-04,2307,333.9,150,Grade 3,
1404-04,1351,330.7,151,Grade 3,
1404-04,2315,328.9,152,Grade 3,
1404-04,2601,328.1,153,Grade 3,
1404-04,3101,326.4,154,Grade 3,
1404-04,132,319.3,155,Grade 3,
1404-04,3105,318.6,156,Grade 3,
1404-04,1141,318.1,157,Grade 3,
1404-04,2704,315.8,158,Grade 3,
1404-04,1006,314.2,159,Grade 3,
1404-04,2310,313.8,160,Grade 3,
1404-04,3701,309.6,161,Grade 3,
1404-04,2351,304.8,162,Grade 3,
1404-04,3341,304.7,163,Grade 3,
1404-04,2306,303.4,164,Grade 3,
1404-04,2201,301.7,165,Grade 3,
1404-04,2331,301.1,166,Grade 3,
1404-04,1131,300.9,167,Grade 3,
1404-04,3371,299.9,168,Grade 3,
1404-04,3201,299.6,169,Grade 3,
1404-04,145,295.6,170,Grade 3,
1404-04,1701,295.5,171,Grade 3,
1404-04,1381,294.7,172,Grade 3,
1404-04,3325,293.9,173,Grade 3,
1404-04,128,293.6,174,Grade 3,
